TIPO;COD_SAP_MATERIAL;MATERIAL;NOME_COMERCIAL;SALDO;FABRICANTE;STATUS_PORTFOLIO;CHIP_COMPATIVEL;TECNOLOGIA;CD;PREVISAO_W1;PREVISAO_W2;PREVISAO_W3;PREVISAO_W4;PREVISAO_W5;VALORATE10X;VALORATE24X;SEGMENTO;TIPO_MATERIAL
Smartphone;DGAP22762000;APPLE IPHONE 16 256GB N PT;SmartPhone Apple Iphone 16 256GB - 5G;2454;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
;DGAP25022000;APPLE IPHONE 16E 256GB N BR;SmartPhone Apple Iphone 16e 256GB - 5G;226;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP25022000;APPLE IPHONE 16E 256GB N BR;SmartPhone Apple Iphone 16e 256GB - 5G;226;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
;DGAP25022000;APPLE IPHONE 16E 256GB N BR;SmartPhone Apple Iphone 16e 256GB - 5G;438;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP25022000;APPLE IPHONE 16E 256GB N BR;SmartPhone Apple Iphone 16e 256GB - 5G;438;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
;DGAP25062000;APPLE IPHONE 16E 256GB N PT;SmartPhone Apple Iphone 16e 256GB - 5G;526;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP25062000;APPLE IPHONE 16E 256GB N PT;SmartPhone Apple Iphone 16e 256GB - 5G;526;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
;DGAP25062000;APPLE IPHONE 16E 256GB N PT;SmartPhone Apple Iphone 16e 256GB - 5G;1434;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP25062000;APPLE IPHONE 16E 256GB N PT;SmartPhone Apple Iphone 16e 256GB - 5G;1434;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4730;5496;PREÇO UNIFICADO;Aparelho
;DGAP26913000;APPLE IPHONE 17 256GB AZ;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
